City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
Trelew,AR,80.19,-43.25,-65.31,scattered clouds,Hotel Touring Club
Soeng Sang,TH,86.0,14.43,102.46,few clouds,ปาณิสรา รีสอร์ท
Cuencame,MX,79.59,24.87,-103.7,clear sky,Casa De Mary
Nawada,IN,73.4,24.88,85.53,haze,Hotal Rajshree International
Dubai,AE,87.8,25.26,55.3,clear sky,"Radisson Blu Hotel, Dubai Deira Creek"
Innisfail,AU,70.47,-17.53,146.03,clear sky,Moondarra Motel
Saint-Georges,GD,84.2,12.06,-61.75,few clouds,Radisson Grenada Beach Resort
Salina Cruz,MX,89.26,16.17,-95.2,clear sky,Hotel Amerik
Vao,NC,76.53,-22.67,167.48,overcast clouds,Hotel Kou-Bugny
Pali,IN,80.58,25.77,73.33,clear sky,Seervi Hostel
