City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Tuktoyaktuk,CA,2020-03-31 20:53:58,69.45,-133.04,5.0,60,75,18.34
70,Hobyo,SO,2020-03-31 20:53:58,5.35,48.53,84.45,73,90,12.24
71,Fortuna,US,2020-03-31 20:53:59,40.6,-124.16,54.0,87,75,13.87
72,College,US,2020-03-31 20:53:59,64.86,-147.8,24.01,29,1,10.29
73,Nanortalik,GL,2020-03-31 20:50:38,60.14,-45.24,33.19,89,32,15.05
74,Kuah,MY,2020-03-31 20:53:59,6.33,99.84,82.4,83,20,3.36
75,Marfino,RU,2020-03-31 20:52:12,55.7,37.38,24.8,45,63,4.47
76,Tual,ID,2020-03-31 20:54:00,-5.67,132.75,85.17,71,100,4.25
77,Piraju,BR,2020-03-31 20:54:00,-23.19,-49.38,75.36,61,1,1.63
78,Salalah,OM,2020-03-31 20:49:01,17.02,54.09,80.6,88,75,6.93
79,Olafsvik,IS,2020-03-31 20:54:00,64.89,-23.71,33.98,88,100,20.54
80,Resistencia,AR,2020-03-31 20:54:00,-27.46,-58.98,77.0,100,90,6.93
81,Reyes,BO,2020-03-31 20:54:01,-14.32,-67.38,86.4,65,70,3.38
82,Vanimo,PG,2020-03-31 20:54:01,-2.67,141.3,78.62,83,100,5.08
83,Karasjok,NO,2020-03-31 20:54:01,69.47,25.51,23.0,73,40,18.34
84,Qandala,SO,2020-03-31 20:54:01,11.47,49.87,83.62,69,3,3.13
85,Cherskiy,RU,2020-03-31 20:54:01,68.75,161.3,-2.06,91,80,8.99
86,Saint-Paul-Les-Dax,FR,2020-03-31 20:54:01,43.73,-1.05,51.8,71,100,2.24
87,Douglas,US,2020-03-31 20:51:19,41.3,-96.17,69.01,45,40,8.05
88,Itapaci,BR,2020-03-31 20:54:02,-14.95,-49.55,78.04,65,0,0.89
89,Alugan,PH,2020-03-31 20:54:02,12.22,125.48,79.92,76,67,5.73
90,Ostrovnoy,RU,2020-03-31 20:54:02,68.05,39.51,21.76,91,100,17.54
91,Camacha,PT,2020-03-31 20:54:02,33.08,-16.33,60.8,67,20,13.87
92,Ruteng,ID,2020-03-31 20:54:02,-8.61,120.47,65.07,75,91,2.51
93,Lamar,US,2020-03-31 20:54:02,33.67,-95.58,68.0,55,40,11.41
94,Faya,SA,2020-03-31 20:54:03,18.39,42.45,62.6,59,0,5.82
95,Morondava,MG,2020-03-31 20:54:03,-20.28,44.28,77.38,75,0,7.67
96,Te Anau,NZ,2020-03-31 20:54:03,-45.42,167.72,52.2,65,28,0.74
97,Junin,AR,2020-03-31 20:54:03,-34.58,-60.94,71.01,84,82,1.99
98,Erzin,TR,2020-03-31 20:54:03,36.96,36.2,60.01,72,75,12.75
99,Vila Franca Do Campo,PT,2020-03-31 20:51:46,37.72,-25.43,55.4,62,20,13.87
100,Okha,RU,2020-03-31 20:54:03,53.57,142.95,19.54,96,1,5.46
101,Tczew,PL,2020-03-31 20:54:04,54.09,18.78,33.01,63,35,8.05
102,Paamiut,GL,2020-03-31 20:54:04,61.99,-49.67,21.34,93,0,21.77
103,Tura,IN,2020-03-31 20:54:04,25.52,90.22,68.49,26,0,1.74
104,Nyurba,RU,2020-03-31 20:54:04,63.28,118.33,13.06,94,99,8.52
105,Preobrazheniye,RU,2020-03-31 20:54:04,42.9,133.91,39.06,85,96,6.73
106,Ilulissat,GL,2020-03-31 20:53:43,69.22,-51.1,3.2,77,75,14.99
107,Hukuntsi,BW,2020-03-31 20:54:05,-24.0,21.75,66.9,54,90,6.69
108,Dikson,RU,2020-03-31 20:54:05,73.51,80.55,-2.52,93,100,6.62
109,Yar-Sale,RU,2020-03-31 20:54:05,66.83,70.83,7.77,92,25,8.59
110,Sulphur,US,2020-03-31 20:51:56,30.24,-93.38,75.2,49,1,12.75
111,Ponta Do Sol,PT,2020-03-31 20:54:05,32.67,-17.1,60.8,67,40,16.11
112,Papara,BR,2020-03-31 20:54:05,-3.98,-38.73,80.6,88,75,6.93
113,Lovozero,RU,2020-03-31 20:54:06,68.0,35.01,19.13,94,100,15.46
114,Esperance,AU,2020-03-31 20:51:31,-33.87,121.9,53.6,100,3,3.36
115,Bati,ET,2020-03-31 20:54:06,11.18,40.02,70.83,39,5,3.62
116,Chuy,UY,2020-03-31 20:54:06,-33.7,-53.46,69.28,72,84,14.67
117,Kaitangata,NZ,2020-03-31 20:51:36,-46.28,169.85,50.0,93,2,3.6
118,Impfondo,CG,2020-03-31 20:54:06,1.64,18.07,77.38,73,67,4.7
119,Sao Sepe,BR,2020-03-31 20:54:06,-30.16,-53.57,89.6,46,20,5.82
120,Cockburn Town,TC,2020-03-31 20:54:07,21.46,-71.14,77.14,68,0,9.75
